Europa,Europeaan,Europeanen,Europees,Europese
Noord-Amerika,Noord-Amerikaan,Noord-Amerikanen,Noord-Amerikaans,Noord-Amerikaanse
Zuid-Amerika,Zuid-Amerikaan,Zuid-Amerikanen,Zuid-Amerikaans,Zuid-Amerikaanse
Afrika,Afrikaan,Afrikanen,Afrikaans,Afrikaanse
Azië,Aziaat,Aziaten,Aziatisch,Aziatische
Oceanië,Oceaniër,Oceaniërs,Oceanisch,Oceanische
België,Belg,Belgen,Belgisch,Belgische
Nederland,Nederlander,Nederlanders,Nederlands,Nederlandse
Duitsland,Duitser,Duitsers,Duits,Duitse
Italië,Italiaan,Italianen,Italiaans,Italiaanse
Spanje,Spanjaard,Spanjaarden,Spaans,Spaanse
Portugal,Portugees,Portugezen,Portugees,Portugese
Polen,Pool,Polen,Pools,Poolse
Frankrijk,Fransman,Fransen,Frans,Franse
Iran,Iraniër,Iraniërs,Iraans,Iraanse
Brazilië,Braziliaan,Brazilianen,Braziliaans,Braziliaanse
Syrië,Syriër,Syriërs,Syrisch,Syriër
Groot-Brittannië,Brit,Britten,Brits,Britse
Verenigd Koninkrijk,Brit,Britten,Brits,Britse
India,Indiër,Indiërs,Indiaas,Indiase
Roemenië,Roemeen,Roemenen,Roemeens,Roemeense
Turkije,Turk,Turken,Turks,Turkse
Bulgarije,Bulgaar,Bulgaren,Bulgaars,Bulgaarse
China,Chinees,Chinezen,Chinees,Chinese
Mexico,Mexicaan,Mexicanen,Mexicaans,Mexicaanse
Rusland,Rus,Russen,Russisch,Russische
Amerika,Amerikaan,Amerikanen,Amerikaans,Amerikaanse
Verenigde Staten van Amerika,Amerikaan,Amerikanen,Amerikaans,Amerikaanse
VS,Amerikaan,Amerikanen,Amerikaans,Amerikaanse
Colombia,Colombiaan,Colombianen,Colombiaans,Colombiaanse
Griekenland,Griek,Grieken,Grieks,Griekse
Hongarije,Hongaar,Hongaren,Hongaars,Hongaarse
Japan,Japanner,Japanners,Japans,Japanse
Oekraïne,Oekraïner,Oekraïners,Oekraïens,Oekraïens
Zuid-Afrika,Zuid-Afrikaan,Zuid-Afrikanen,Zuid-Afrikaans,Zuid-Afrikaanse
Georgië,Georgiër,Georgiërs,Georgisch,Georgische
Korea,Koreaan,Koreanen,Koreaans,Koreaanse
Noord-Korea,Noord-Koreaan,Noord-Koreanen,Noord-Koreaans,Noord-Koreaanse
Zuid-Korea,Zuid-Koreaan,Zuid-Koreanen,Zuid-Koreaans,Zuid-Koreaanse
Zwitserland,Zwitser,Zwitsers,Zwitsers,Zwitserse
Denemarken,Deen,Denen,Deens,Deense
Ghana,Ghanees,Ghanezen,Ghanees,Ghanese
Libanon,Libanees,Libanezen,Libanees,Libanese
Litouwen,Litouwer,Litouwers,Litouws,Litouwse
Oostenrijk,Oostenrijker,Oostenrijkers,Oostenrijks,Oostenrijkse
Slovenië,Sloveen,Slovenen,Sloveens,Sloveense
Thailand,Thai,Thai,Thais,Thaise
Argentinië,Argentijn,Argentijnen,Argentijns,Argentijnse
Egypte,Egyptenaar,Egyptenaren,Egyptisch,Egyptische
Filippijnen,Filippijn,Filippijnen,Filippijns,Filippijnse
Israël,Israëliër,Israëliërs,Israëlisch,Israëlische
Israël,Israëliër,Israëli's,Israëlisch,Israëlische
Macedonië,Macedoniër,Macedoniërs,Macedonisch,Macedonische
Noord-Macedonië,Noord-Macedoniër,Noord-Macedoniërs,Noord-Macedonisch,Noord-Macedonische
Slowakije,Slowaak,Slowaken,Slowaaks,Slowaakse
Slovakije,Slovaak,Slovaken,Slovaaks,Slovaakse
Tsjechië,Tsjech,Tsjechen,Tsjechisch,Tsjechische
Burundi,Burundees,Burundezen,Burundisch,Burundische
Canada,Canadees,Canadezen,Canadees,Canadese
Congo,Congolees,Congolezen,Congolees,Congolese
Estland,Est,Estlanders,Estlands,Estlandse
Estland,Est,Esten,Estnisch,Estnische
Estland,Est,Esten,Ests,Estse
Finland,Fin,Finnen,Fins,Finse
Ierland,Ier,Ieren,Iers,Ierse
Kazachstan,Kazach,Kazachen,Kazachstaans,Kazachtstaanse
Marokko,Marokkaan,Marokkanen,Marokkaans,Marokkaanse
Palestina,Palestijn,Palestijnen,Palestijns,Palestijnse
Peru,Peruviaan,Peruvianen,Peruviaans,Peruviaanse
Servië,Serviër,Serviërs,Servisch,Servische
Venezuela,Venezolaan,Venezolanen,Venezolaans,Venezolaanse
Vietnam,Vietnamees,Vietnamezen,Vietnamees,Vietnamese
Azerbeidzjan,Azerbeidzjaan,Azerbeidzjanen,Azerbeidzjaans,Azerbeidzjaanse
Bahrein,Bahrein,Bahreini,Bahreins,Bahreinse
Bolivia,Boliviaan,Bolivianen,Boliviaans,Boliviaanse
Bosnië,Bosniër,Bosniërs,Bosnisch,Bosnische
Bosnië en Herzegovina,Bosniër,Bosniërs,Bosnisch,Bosnische
Cambodja,Cambodjaan,Cambodjanen,Cambodjaans,Cambodjaanse
Chili,Chileen,Chilenen,Chileens,Chileense
Costarica,Costaricaan,Costaricanen,Costaricaans,Costaricaanse
Costa Rica,Costa ricaan,Costa ricanen,Costa ricaans,Costa ricaanse
Cuba,Cubaan,Cubanen,Cubaans,Cubaanse
Ecuador,Ecuadoraan,Ecuadoranen,Ecuadoraans,Ecuadoraanse
Guatemala,Guatemalteek,Guatemalteken,Guatemalteeks,Guatemalteekse
IJsland,IJslander,IJslanders,IJslands,IJslandse
Indonesië,Indonesiër,Indonesiërs,Indonesisch,Indonesische
Irak,Irakees,Irakezen,Iraaks,Iraakse
Jordanië,Jordaniër,Jordaniërs,Jordaans,Jordaanse
Kameroen,Kameroener,Kameroeners,Kameroens,Kameroense
Kirgizië,Kirgiziër,Kirgiziërs,Kirgizisch,Kirgizische
Kongo,Kongolees,Kongolezen,Kongolees,Kongolese
Kroatië,Kroaat,Kroaten,Kroatisch,Kroatische
Luxemburg,Luxemburger,Luxemburgers,Luxemburgs,Luxemburgse
Maleisië,Maleisiër,Maleisiërs,Maleisisch,Maleisische
Mongolië,Mongool,Mongolen,Mongools,Mongoolse
Nepal,Nepalees,Nepalezen,Nepalees,Nepalese
Nigeria,Nigeriaan,Nigerianen,Nigeriaans,Nigeriaanse
Noorwegen,Noor,Noren,Noors,Noorse
Pakistan,Pakistaan,Pakistanen,Pakistaans,Pakistaanse
Panama,Panamees,Panamezen,Panamees,Panamese
Suriname,Surinamer,Surinamers,Surinaams,Surinaamse
Taiwan,Taiwanees,Taiwanezen,Taiwanees,Taiwanese
Wit-Rusland,Wit-Rus,Wit-Russen,Wit-Russisch,Wit-Russische
Belarus,Wit-Rus,Wit-Russen,Wit-Russisch,Wit-Russische